epoch,loss,lr,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
0,4.936646291753277e-05,0.001,0.002400592202320695,33.7291145324707,4.936646291753277e-05,1.6717140169930644e-06,0.0005318298353813589,4.779300689697266,1.6717140169930644e-06
1,1.917012377816718e-05,0.001,0.0012347358278930187,13.227653503417969,1.917012377816718e-05,8.72432963205938e-07,0.00038262299494817853,3.467238664627075,8.72432963205938e-07
2,6.6062657424481586e-06,0.001,0.0009031433146446943,29.246973037719727,6.6062657424481586e-06,8.427659849985503e-07,0.00034060393227264285,2.6931166648864746,8.427659849985503e-07
3,1.0760196346382145e-05,0.001,0.0008925293805077672,10.954954147338867,1.0760196346382145e-05,2.0538647049761494e-07,0.0001861040509538725,2.0390872955322266,2.0538647049761494e-07
4,1.2523467376013286e-05,0.001,0.0009132308186963201,18.355314254760742,1.2523467376013286e-05,1.1898588780923092e-07,0.00014274792920332402,1.6539160013198853,1.1898588780923092e-07
5,9.860749372592181e-08,0.001,0.00015260135114658624,5.3867902755737305,9.860749372592181e-08,9.691317615079242e-08,0.00012602373317349702,1.2077943086624146,9.691317615079242e-08
6,1.5383438949356787e-06,0.001,0.0003558405442163348,7.569977760314941,1.5383438949356787e-06,1.0249880233459407e-07,0.00013560091610997915,1.5478413105010986,1.0249880233459407e-07
7,5.945782504568342e-06,0.001,0.000897833495400846,75.91142272949219,5.945782504568342e-06,2.5660744995548157e-07,0.00022344704484567046,2.9659159183502197,2.5660744995548157e-07
8,6.01338342676172e-06,0.001,0.0008794026216492057,7.17611837387085,6.01338342676172e-06,7.930390921728758e-08,0.00010836062574526295,1.0350561141967773,7.930390921728758e-08
9,1.016276019072393e-05,0.001,0.0008315799059346318,22.918230056762695,1.016276019072393e-05,7.157190395901125e-08,0.00010320262663299218,1.1812512874603271,7.157190395901125e-08
10,1.1111496434068613e-07,0.001,0.0001503476669313386,3.1492605209350586,1.1111496434068613e-07,3.930669834062428e-08,8.002017420949414e-05,0.8167882561683655,3.930669834062428e-08
11,2.707653266043053e-06,0.001,0.0005487506277859211,24.84499740600586,2.707653266043053e-06,5.707321903969387e-08,9.606277308193967e-05,0.9826504588127136,5.707321903969387e-08
12,2.556436129452777e-06,0.001,0.0004452543507795781,12.835871696472168,2.556436129452777e-06,4.3378044267683435e-08,8.390590664930642e-05,0.8685223460197449,4.3378044267683435e-08
13,4.870663360634353e-06,0.001,0.0005256957956589758,5.781368255615234,4.870663360634353e-06,3.072804233283932e-08,6.854944513179362e-05,0.60142582654953,3.072804233283932e-08
14,1.098699954127369e-06,0.001,0.0003627981059253216,16.787078857421875,1.098699954127369e-06,2.7307409666832427e-08,6.71147063258104e-05,0.5793266296386719,2.7307409666832427e-08
15,2.3419474928232376e-06,0.001,0.0004953172174282372,21.198392868041992,2.3419474928232376e-06,2.8147033148684386e-08,6.717725773341954e-05,0.6372510194778442,2.8147033148684386e-08
16,1.3402182474919755e-08,0.00025,5.6128777941921726e-05,1.429160714149475,1.3402182474919755e-08,1.757523726553245e-08,5.4961961723165587e-05,0.6095205545425415,1.757523726553245e-08
